"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
14,9,147,"B0BKL5MPXM",false,49.99,"USD",0,0,0,79,4.6,"https://www.amazon.com/dp/B0BKL5MPXM","363.40",false,false,false,false,"Sponsored Ad - TOUFUN Raised Garden Bed,Galvanized Raised Garden Beds Outdoor for Vegetables Flowers Herbs, Raised Bed Pla...","https://m.media-amazon.com/images/I/81R8qhG+DSL._AC_UL400_.jpg"
1,47,148,"B0BNH4LL86",false,47.99,"USD",0,0,0,208,4.7,"https://www.amazon.com/dp/B0BNH4LL86","977.60",false,false,false,false,"Sponsored Ad - Kesfitt Raised Garden Bed Kit,Outdoor Galvanized Planter Large Metal Raised Boxes with Safety Edging and Gl...","https://m.media-amazon.com/images/I/61WpUkSxNJL._AC_UL400_.jpg"
1,48,149,"B09PTW9QVP",true,159.99,"USD",199,39.01,19.6,339,4.7,"https://www.amazon.com/dp/B09PTW9QVP","1593.30",false,false,false,false,"2 Pcs 8 x 3 x 1 FT Galvanized Steel Raised Garden Bed, Large Galvanized Steel Outdoor planter box for for Easy to DIY and ...","https://m.media-amazon.com/images/I/71coNVrg+mL._AC_UL400_.jpg"
15,1,150,"B09PN11Y65",false,99.99,"USD",0,0,0,163,4.3,"https://www.amazon.com/dp/B09PN11Y65","700.90",false,false,false,false,"Sponsored Ad - Thanaddo Raised Garden Bed 6x3x1.84 ft Outdoor Planter Box with Vents Galvanized Metal Garden Bed Kit for V...","https://m.media-amazon.com/images/I/71Q4lSaN-mL._AC_UL400_.jpg"
1,49,151,"B0BQMJKXFJ",false,89.99,"USD",0,0,0,7,3.8,"https://www.amazon.com/dp/B0BQMJKXFJ","26.60",false,false,false,false,"OIPRTGFJ Wood Rectangular Garden Planter Box Raised Garden Bed Outdoor,Planters for Outdoor Plants 37x13x15in Elevated Pla...","https://m.media-amazon.com/images/I/81hawL0CTqL._AC_UL400_.jpg"
15,2,152,"B0B5B2WQB5",false,39.99,"USD",0,0,0,73,4.2,"https://www.amazon.com/dp/B0B5B2WQB5","306.60",false,false,false,false,"Sponsored Ad - NACREEN Raised Garden Bed with Legs Planters for Outdoor Plants Garden Boxes Outdoor Raised Planter Box Per...","https://m.media-amazon.com/images/I/71nyY17MWnL._AC_UL400_.jpg"
1,50,153,"B0BDQJK687",false,42.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0BDQJK687","5.00",false,false,false,false,"VERFARM Rectangular Galvanized Metal Raised Garden Bed Kit, Rustproof Bottomless Outdoor Garden Raised Planter Box for Veg...","https://m.media-amazon.com/images/I/71SqEl6IYhL._AC_UL400_.jpg"
15,3,154,"B0B4SL7HD6",true,39.99,"USD",42.99,3,6.98,37,4.6,"https://www.amazon.com/dp/B0B4SL7HD6","170.20",false,false,false,false,"Sponsored Ad - Sundale Outdoor Galvanized Raised Garden Bed Kit, 4x2x1ft Planter Raised Garden Boxes Outdoor with Anti-Rus...","https://m.media-amazon.com/images/I/81oIbLjlekL._AC_UL400_.jpg"
1,51,155,"B0BLYQ8HP5",true,53.99,"USD",59.99,6,10,99,3.5,"https://www.amazon.com/dp/B0BLYQ8HP5","346.50",false,false,false,false,"Sponsored Ad - Raised Garden Bed with Legs Planters for Outdoor Plants Planter Box Plant pots Elevated Garden Boxes Perfec...","https://m.media-amazon.com/images/I/61pNSF7+caL._AC_UL400_.jpg"
15,4,156,"B0BKL5MPXM",false,49.99,"USD",0,0,0,79,4.6,"https://www.amazon.com/dp/B0BKL5MPXM","363.40",false,false,false,false,"Sponsored Ad - TOUFUN Raised Garden Bed,Galvanized Raised Garden Beds Outdoor for Vegetables Flowers Herbs, Raised Bed Pla...","https://m.media-amazon.com/images/I/81R8qhG+DSL._AC_UL400_.jpg"
1,52,157,"B0C1BNJ453",true,58.49,"USD",64.99,6.5,10,301,4.7,"https://www.amazon.com/dp/B0C1BNJ453","1414.70",false,false,false,false,"EZIOSS Raised Garden Bed - Aluzinc Planter Box for Outdoor Gardening and Planting, Ideal for Plants and Vegetables","https://m.media-amazon.com/images/I/61vfxuoV6OL._AC_UL400_.jpg"
15,5,158,"B08RP567CV",true,43.99,"USD",49.99,6,12,233,4.5,"https://www.amazon.com/dp/B08RP567CV","1048.50",false,false,false,false,"Sponsored Ad - ProGard Raised Garden Bed, Garden Raised Planter Box with Legs, Galvanized Garden Planter for Herbs and Veg...","https://m.media-amazon.com/images/I/713bcD3rj3L._AC_UL400_.jpg"
1,53,159,"B09P1KNLSF",true,74.99,"USD",81.99,7,8.54,87,4.3,"https://www.amazon.com/dp/B09P1KNLSF","374.10",false,false,false,false,"Untimaty 2 PCS Raised Garden Bed, Metal Raised Planter Box Garden Box Vegetable Planter for Growing Flowers Veggies, Flowe...","https://m.media-amazon.com/images/I/713lHN5KHiL._AC_UL400_.jpg"
15,6,160,"B0BPGQ2M6S",true,139.99,"USD",149.99,10,6.67,414,4.1,"https://www.amazon.com/dp/B0BPGQ2M6S","1697.40",false,false,false,false,"Sponsored Ad - Emalie Garden Raised Bed, Deep Root Box Planter for Indoor Outdoor Plants, Brown","https://m.media-amazon.com/images/I/91FvOL39CgL._AC_UL400_.jpg"
1,54,161,"B0BQKMR1TQ",false,79.73,"USD",0,0,0,51,4.4,"https://www.amazon.com/dp/B0BQKMR1TQ","224.40",false,false,false,false,"Backyard Expressions Raised Garden Bed, Elevated Wood Planter Box Stand - 35.5"" W x 15.5"" D x 22"" H","https://m.media-amazon.com/images/I/91Oti+FUdXL._AC_UL400_.jpg"
